Barcode,Dataset,File1,File2
AS-136076,WGBS_5T_1,AS-136076-LR-18958_R1_sample.fq.gz,AS-136076-LR-18958_R2_sample.fq.gz
AS-136076,WGBS_5T_2,AS-136076-LR-18959_R1_sample.fq.gz,AS-136076-LR-18959_R2_sample.fq.gz
