Barcode,Dataset,File1,File2
AS-136078,WGBS_6T_1,AS-136078-LR-18962_R1_sample.fq.gz,AS-136078-LR-18962_R2_sample.fq.gz
AS-136078,WGBS_6T_2,AS-136078-LR-18963_R1_sample.fq.gz,AS-136078-LR-18963_R2_sample.fq.gz
